
word      prob  unordered_prob    word      prob  unordered_prob
  am  0.007779        0.015559      am  0.012294        0.024588 
  at  0.005563        0.011125      as  0.010734        0.021469 
  ah  0.005237        0.010474      me  0.010390        0.020780 
  ha  0.005237        0.010474      em  0.010390        0.020780 
  as  0.004730        0.009461      ms  0.007778        0.015557 
  mr  0.004439        0.008878      ha  0.005526        0.011053 
  ms  0.003705        0.007409      ah  0.005526        0.011053 
  em  0.003077        0.006154      re  0.004790        0.009579 
  me  0.003077        0.006154      eh  0.004671        0.009341 
  dr  0.002578        0.005155      he  0.004671        0.009341 
  an  0.002247        0.004494      mr  0.004107        0.008213 
  re  0.002242        0.004484      im  0.004039        0.008078 
  or  0.002146        0.004291     lea  0.001213        0.007278 
  to  0.002106        0.004211     ale  0.001213        0.007278 
  he  0.002071        0.004142      an  0.003635        0.007271 
  eh  0.002071        0.004142     sea  0.001182        0.007090 
  ho  0.001982        0.003965      is  0.003526        0.007053 
  oh  0.001982        0.003965      pa  0.003396        0.006791 
  so  0.001791        0.003581     lam  0.001040        0.006240 
  do  0.001710        0.003420      eg  0.003096        0.006191




word      prob  unordered_prob    word      prob  unordered_prob
 jam  0.001089        0.006534     lea  0.001213        0.007278
 jar  0.000793        0.004761     ale  0.001213        0.007278
 raj  0.000793        0.004761     sea  0.001182        0.007090
 jab  0.000581        0.003489     lam  0.001040        0.006240
 lam  0.000516        0.003097     sam  0.001013        0.006079
 mac  0.000500        0.002997     mas  0.001013        0.006079
 cam  0.000500        0.002997     las  0.000908        0.005448
 ram  0.000442        0.002654     ace  0.000881        0.005286
 mar  0.000442        0.002654     elm  0.000879        0.005273
 arm  0.000442        0.002654     ems  0.000856        0.005138
 mat  0.000434        0.002605     els  0.000767        0.004605
 ham  0.000409        0.002452     cam  0.000755        0.004532
 sam  0.000369        0.002215     mac  0.000755        0.004532
 mas  0.000369        0.002215     ala  0.001435        0.004306
 alt  0.000369        0.002215     sac  0.000660        0.003957
 arc  0.000364        0.002184     are  0.000624        0.003743
 car  0.000364        0.002184     ear  0.000624        0.003743
 cat  0.000357        0.002143     era  0.000624        0.003743
 act  0.000357        0.002143     sec  0.000557        0.003345
 dam  0.000353        0.002116     ram  0.000535        0.003209



 word      prob  unordered_prob    word      prob  unordered_prob
 jarl  0.000053        0.001264    meal  0.000114        0.002748
 jams  0.000052        0.001240    male  0.000114        0.002748
 jamb  0.000045        0.001089    lame  0.000114        0.002748
 ajar  0.000079        0.000949    same  0.000112        0.002677
 jars  0.000038        0.000904    seam  0.000112        0.002677
 clam  0.000033        0.000796    seal  0.000100        0.002399
 calm  0.000033        0.000796    sale  0.000100        0.002399
 jack  0.000031        0.000744    lase  0.000100        0.002399
 marl  0.000029        0.000705    ales  0.000100        0.002399
 malt  0.000029        0.000691    alms  0.000086        0.002057
 cram  0.000028        0.000682    slam  0.000086        0.002057
 jabs  0.000028        0.000662    came  0.000083        0.001996
 lama  0.000051        0.000617    mace  0.000083        0.001996
 jade  0.000025        0.000598    acme  0.000083        0.001996
 mart  0.000025        0.000593    lace  0.000075        0.001789
 tram  0.000025        0.000593    case  0.000073        0.001743
 slam  0.000025        0.000588    aces  0.000073        0.001743
 alms  0.000025        0.000588    elms  0.000072        0.001738
 scam  0.000024        0.000569    lama  0.000135        0.001626
 cams  0.000024        0.000569    ease  0.000130        0.001561



  word      prob  unordered_prob      word      prob  unordered_prob
 major  0.000002        0.000280     meals  0.000009        0.001132
 jambs  0.000002        0.000258     salem  0.000009        0.001132
 rajah  0.000004        0.000249     males  0.000009        0.001132
 james  0.000002        0.000244     camel  0.000007        0.000844
 calms  0.000002        0.000189     maces  0.000007        0.000822
 clams  0.000002        0.000189     scale  0.000006        0.000737
 charm  0.000001        0.000179     laces  0.000006        0.000737
 march  0.000001        0.000179     lamas  0.000011        0.000670
 jacks  0.000001        0.000176     lease  0.000011        0.000660
 match  0.000001        0.000176     easel  0.000011        0.000660
 alarm  0.000003        0.000176     lemma  0.000011        0.000648
 malta  0.000003        0.000172     calms  0.000005        0.000632
 jacob  0.000001        0.000169     clams  0.000005        0.000632
 marls  0.000001        0.000167     realm  0.000005        0.000598
 malts  0.000001        0.000164     email  0.000005        0.000588
 scram  0.000001        0.000162     mares  0.000005        0.000582
 crams  0.000001        0.000162     smear  0.000005        0.000582
 jehad  0.000001        0.000157     reams  0.000005        0.000582
 camel  0.000001        0.000157     maser  0.000005        0.000582
 larch  0.000001        0.000152     shame  0.000005        0.000568



   word      prob   unordered_prob      word      prob   unordered_prob
 jetsam  1.137e-7         0.000082    camels  5.797e-7         0.000417
 majors  1.109e-7         0.000080    lemmas  8.904e-7         0.000321
 jackal  2.049e-7         0.000074    realms  4.104e-7         0.000296
 cajole  8.842e-8         0.000064    calmer  3.060e-7         0.000220
 abject  8.215e-8         0.000059    malice  3.010e-7         0.000217
 tarmac  1.580e-7         0.000057    scream  2.981e-7         0.000215
 jammed  1.518e-7         0.000055    creams  2.981e-7         0.000215
 calmer  7.431e-8         0.000054    schema  2.907e-7         0.000209
 charms  7.085e-8         0.000051    mealie  5.392e-7         0.000194
 alarms  1.388e-7         0.000050    clears  2.672e-7         0.000192
 jacket  6.817e-8         0.000049    gleams  2.653e-7         0.000191
 drachm  6.765e-8         0.000049    laches  2.605e-7         0.000188
 armlet  6.459e-8         0.000047    scales  5.061e-7         0.000182
 camels  6.202e-8         0.000045    sesame  1.011e-6         0.000182
 mortal  6.182e-8         0.000045    maples  2.459e-7         0.000177
 hamlet  5.967e-8         0.000043    sample  2.459e-7         0.000177
 calmed  5.922e-8         0.000043    alarms  4.857e-7         0.000175
 logjam  5.902e-8         0.000042    salaam  1.454e-6         0.000174
 scalar  1.142e-7         0.000041    resale  4.787e-7         0.000172
 rascal  1.142e-7         0.000041    sealer  4.787e-7         0.000172




    word      prob   unordered_prob         word      prob  unordered_prob
 jackals  9.726e-9         0.000025      seamail  5.258e-8        0.000133
 cajoled  4.007e-9         0.000020      malaise  5.258e-8        0.000133
 caramel  7.406e-9         0.000019      malices  2.480e-8        0.000125
 marshal  7.296e-9         0.000018      mealies  4.444e-8        0.000112
 calmest  3.461e-9         0.000017      measles  8.559e-8        0.000108
 thermal  3.393e-9         0.000017      caramel  3.986e-8        0.000100
 drachma  6.743e-9         0.000017      cameras  3.883e-8        0.000098
 rematch  3.284e-9         0.000017      realism  1.756e-8        0.000089
 matcher  3.284e-9         0.000017      smaller  3.472e-8        0.000088
 jackets  3.235e-9         0.000016      armless  3.382e-8        0.000085
 clamber  3.097e-9         0.000016      aimless  3.327e-8        0.000084
 armlets  3.065e-9         0.000015      cereals  2.941e-8        0.000074
 mortals  2.934e-9         0.000015      rescale  2.941e-8        0.000074
 hamlets  2.832e-9         0.000014      enamels  2.898e-8        0.000073
 sjambok  2.810e-9         0.000014      leaches  2.868e-8        0.000072
 marches  2.792e-9         0.000014      calmest  1.314e-8        0.000066
 camelot  2.751e-9         0.000014     caramels  3.285e-9        0.000066
 matches  2.740e-9         0.000014      miracle  1.309e-8        0.000066
 charmed  2.667e-9         0.000013      reclaim  1.309e-8        0.000066
 marched  2.667e-9         0.000013      females  2.601e-8        0.000066




     word       prob  unordered_prob        word      prob   unordered_prob
 caramels  3.515e-10        0.000007    caramels  3.285e-9         0.000066
 thermals  1.610e-10        0.000006    miracles  1.079e-9         0.000044
 drachmas  3.200e-10        0.000006    reclaims  1.079e-9         0.000044
 scramble  1.470e-10        0.000006    manacles  2.107e-9         0.000042
 clambers  1.470e-10        0.000006    massacre  3.200e-9         0.000032
 tracheal  2.782e-10        0.000006    harmless  1.435e-9         0.000029
 schemata  2.731e-10        0.000006    salesman  2.826e-9         0.000028
 majolica  2.575e-10        0.000005    cashmere  1.392e-9         0.000028
 chambers  1.163e-10        0.000005    mackerel  1.378e-9         0.000028
 cartload  2.297e-10        0.000005    calmness  1.333e-9         0.000027
 armholes  1.088e-10        0.000004    misplace  6.466e-0         0.000026
 majestic  1.077e-10        0.000004    maladies  1.264e-9         0.000025
 democrat  1.068e-10        0.000004    mileages  1.249e-9         0.000025
 tramcars  4.265e-10        0.000004    clambers  6.182e-0         0.000025
 chlorate  1.053e-10        0.000004    scramble  6.182e-0         0.000025
 mallards  4.176e-10        0.000004    rescales  2.424e-9         0.000024
 adjacent  2.007e-10        0.000004    careless  2.424e-9         0.000024
 matadors  1.997e-10        0.000004    nameless  2.388e-9         0.000024
 camshaft  1.966e-10        0.000004    lameness  2.388e-9         0.000024
 masthead  1.928e-10        0.000004    maleness  2.388e-9         0.000024
